"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"push-to-checkout.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"1313"	"71"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/push-to-checkout.sample-slack"
"sendemail-validate.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2308"	"72"	"4d67df3a8d5c98cb8565c07e42be0b04"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/sendemail-validate.sample"
"sendemail-validate.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"1788"	"72"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/sendemail-validate.sample-slack"
"update.sample"	".sample"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"3650"	"73"	"647ae13c682f7827c22f5fc08a03674e"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/update.sample"
"update.sample-slack"	".sample-slack"	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"446"	"73"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/hooks/update.sample-slack"
"exclude"	""	"r"	""	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"2025-12-01 15:52:35 IST"	"240"	"75"	"036208b4a1ab4a235d75c181e685e5a3"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/.git/info/exclude"
"land-rover-defender-3840x2160-22984.jpg"	".jpg"	"r"	""	"2025-11-29 15:31:57 IST"	"2025-11-29 15:31:55 IST"	"2025-08-06 13:49:44 IST"	"3787634"	"52"	"47816403aeb7f026b5c7d2e042f46872"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/land-rover-defender-3840x2160-22984.jpg"
"land-rover-defender-3840x2160-22984.jpg-slack"	".jpg-slack"	"r"	""	"2025-11-29 15:31:57 IST"	"2025-11-29 15:31:55 IST"	"2025-08-06 13:49:44 IST"	"1166"	"52"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/land-rover-defender-3840x2160-22984.jpg-slack"
"land-rover-defender-3840x2160-22984.jpg:Zone.Identifier"	".Identifier"	"r"	""	"2025-11-29 15:31:57 IST"	"2025-11-29 15:31:55 IST"	"2025-08-06 13:49:44 IST"	"192"	"52"	"ea89c7a2efd3ff8b299d41556c413d35"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/land-rover-defender-3840x2160-22984.jpg:Zone.Identifier"
"New Text Document (2).txt"	".txt"	"r"	""	"2025-11-29 15:21:21 IST"	"2025-11-29 15:21:21 IST"	"2025-11-29 15:21:21 IST"	"0"	"47"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/New Text Document (2).txt"
